"","focal","seeds","APOAND","CERGLO","CIRSIUM","CLAPUR","COLLIN","COLLOM","D","DAUCAR","EPIDEN","ERILAN","F","G","GALIUM","GERANIUM","GILCAP","HYPERNICUM","LACTUCA","LATHVIC","LEUVUL","LUPBIC","MYOSOTIS","NAVSQU","PLAFIG","PLECON","SHEARV","TRIFOLIUM","VERARV","Z"
"13","CLAPUR",6,"0","0","0","9","0","3","0","4","3","0","0","1","1","0","1","0","0","2","0","0","0","6","0","0","4","0","0","0"
"14","CLAPUR",2,"0","0","0","3","3","1","0","1","2","0","0","0","4","0","2","0","0","5","0","0","1","15","0","0","0","0","0","0"
"15","CLAPUR",20,"1","0","0","3","5","2","0","2","13","0","0","0","1","2","2","0","0","1","0","0","0","22","1","0","5","1","0","0"
"16","CLAPUR",2,"3","0","1","4","3","8","0","0","9","0","0","0","4","1","3","0","0","0","0","0","1","19","0","0","13","1","0","0"
"17","CLAPUR",4,"2","0","0","2","0","2","0","1","6","0","0","0","1","1","4","0","0","0","0","0","0","13","0","0","2","0","0","0"
"18","CLAPUR",10,"1","3","0","8","1","3","1","0","4","0","0","0","8","0","3","0","0","1","0","0","1","10","0","0","8","2","0","0"
"19","CLAPUR",11,"2","0","0","5","2","6","0","0","1","0","0","1","5","0","3","0","0","2","0","0","3","3","0","0","8","0","0","0"
"20","CLAPUR",18,"0","0","0","3","0","0","1","0","0","0","0","0","4","0","0","0","0","0","0","0","1","8","0","0","7","0","1","0"
"21","CLAPUR",6,"1","0","0","5","1","2","0","0","2","2","0","0","5","0","1","0","0","0","0","0","2","1","0","0","5","0","2","0"
"22","CLAPUR",2,"0","0","0","9","1","2","0","0","1","2","0","0","7","0","3","0","0","3","0","0","4","7","0","0","10","0","0","0"
"23","CLAPUR",3,"0","0","0","5","0","3","0","0","1","0","0","0","2","0","4","0","0","2","0","0","1","9","0","0","5","0","0","0"
"24","CLAPUR",10,"0","0","0","6","0","0","0","0","0","0","0","0","3","0","2","0","0","0","0","0","0","0","0","0","3","0","0","0"
"25","CLAPUR",6,"1","0","0","2","0","1","0","0","7","0","0","0","1","0","0","0","0","0","0","0","0","2","0","0","3","0","0","0"
"26","CLAPUR",3,"1","0","0","3","0","4","0","0","8","0","0","0","5","0","0","0","0","0","0","0","0","2","0","0","5","0","0","0"
"27","CLAPUR",4,"1","0","0","4","0","0","0","0","0","1","0","0","5","0","2","0","0","0","0","0","1","6","0","0","4","0","0","0"
"28","CLAPUR",9,"0","1","0","6","2","4","0","1","6","1","0","0","2","0","5","0","0","0","0","0","0","3","0","0","5","0","0","0"
"29","CLAPUR",1,"0","0","0","4","0","0","0","0","2","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","3","0","0","0"
