"","focal","seeds","APOAND","CERGLO","CIRSIUM","CLAPUR","COLLIN","COLLOM","D","DAUCAR","EPIDEN","ERILAN","F","G","GALIUM","GERANIUM","GILCAP","HYPERNICUM","LACTUCA","LATHVIC","LEUVUL","LUPBIC","MYOSOTIS","NAVSQU","PLAFIG","PLECON","SHEARV","TRIFOLIUM","VERARV","Z"
"73","COLLOM",1,"1","0","0","3","1","3","0","0","0","0","0","0","7","0","0","0","0","2","0","0","1","1","1","0","5","0","0","0"
"74","COLLOM",7,"0","0","0","3","0","5","0","0","0","0","0","0","6","0","2","0","0","4","0","0","3","7","0","0","6","1","0","0"
"75","COLLOM",4,"0","0","0","1","0","5","0","0","5","0","0","0","3","0","0","0","2","2","0","0","0","6","0","0","8","0","0","0"
"76","COLLOM",NA,"0","1","0","5","0","5","0","1","4","0","0","0","4","0","2","0","0","0","0","0","2","4","0","0","8","0","0","0"
"77","COLLOM",1,"0","3","0","5","0","2","0","0","4","0","0","0","4","0","1","0","0","5","0","0","2","2","0","0","0","0","0","0"
"78","COLLOM",2,"1","0","0","3","0","4","0","0","8","0","0","0","5","0","0","0","0","0","0","0","0","2","0","0","5","0","0","0"
"79","EPIDEN",15,"1","0","0","0","0","0","0","0","1","0","0","0","6","0","1","0","0","1","0","0","0","0","0","0","1","0","0","0"
"80","EPIDEN",NA,"0","0","0","7","1","1","0","0","9","0","0","0","2","0","4","0","0","5","0","0","0","18","2","0","3","0","0","0"
"81","EPIDEN",NA,"0","0","0","8","1","4","0","0","6","0","0","0","1","1","5","0","0","3","0","0","0","15","3","0","0","0","0","0"
"82","EPIDEN",NA,"1","0","0","3","0","0","0","0","2","0","0","0","2","0","4","1","0","0","0","0","0","20","1","0","0","0","0","0"
"83","EPIDEN",11,"0","0","0","2","0","4","0","0","5","1","0","0","2","1","4","0","0","3","0","0","0","26","1","0","6","0","0","0"
"84","EPIDEN",3,"2","0","0","1","2","3","0","0","15","0","0","0","2","0","3","0","1","3","0","0","0","17","0","0","6","0","0","0"
"85","EPIDEN",NA,"0","0","0","3","1","5","0","0","5","0","0","0","1","0","3","0","0","1","0","0","0","27","0","0","2","0","0","0"
"86","EPIDEN",NA,"0","0","0","0","0","0","0","0","1","0","0","0","7","0","0","0","0","3","0","0","0","1","0","0","4","0","0","0"
"87","EPIDEN",29,"1","0","0","1","2","8","0","0","11","0","0","0","3","0","3","0","0","0","0","0","0","9","2","0","1","0","0","0"
"88","EPIDEN",NA,"0","0","0","2","1","7","0","0","3","0","0","0","4","0","4","0","0","0","0","0","0","19","3","0","2","0","0","0"
"89","EPIDEN",NA,"0","0","0","0","0","1","0","0","2","0","0","0","7","0","2","0","0","2","0","0","1","1","0","0","6","0","0","0"
"90","EPIDEN",NA,"1","0","0","0","0","5","0","0","1","0","0","0","9","1","0","0","0","1","0","0","2","1","0","0","3","1","0","0"
"91","EPIDEN",NA,"1","0","0","2","0","1","0","0","2","0","0","0","7","0","1","0","0","1","0","0","0","2","0","0","0","0","0","0"
"92","EPIDEN",NA,"1","0","0","2","0","8","0","0","2","0","0","0","6","0","3","0","0","1","0","0","0","2","0","0","0","0","0","0"
"93","EPIDEN",2,"0","0","0","4","0","5","0","0","9","0","0","0","5","0","5","0","0","4","0","0","0","4","0","0","10","0","0","0"
"94","EPIDEN",4,"1","0","0","2","5","5","0","0","4","0","0","0","6","0","4","0","0","2","0","0","0","4","0","0","2","0","0","0"
"95","EPIDEN",NA,"0","0","0","2","2","0","0","0","3","0","0","0","2","0","1","0","0","3","0","0","0","2","0","0","0","0","0","0"
"96","EPIDEN",9,"0","0","0","8","0","3","0","0","6","0","0","0","5","1","1","0","0","0","0","0","0","27","0","1","0","0","0","0"
"97","EPIDEN",5,"0","0","0","0","0","5","0","3","4","0","0","0","5","0","3","0","0","0","0","0","0","17","0","0","0","0","0","0"
"98","EPIDEN",NA,"0","0","0","4","0","2","0","1","16","0","0","0","5","0","2","0","0","0","0","0","0","11","0","0","0","0","0","0"
"99","EPIDEN",NA,"0","0","0","0","0","2","0","3","1","0","1","0","1","0","2","0","0","0","2","0","0","18","0","0","0","0","0","0"
"100","EPIDEN",NA,"1","0","0","0","1","9","0","0","2","0","0","0","6","0","0","0","0","2","0","0","2","8","0","0","7","0","0","0"
"101","EPIDEN",NA,"0","0","0","4","2","6","0","1","3","0","0","0","8","0","4","0","0","3","0","0","2","10","1","0","3","0","0","0"
"102","EPIDEN",NA,"1","1","0","2","1","5","0","0","4","0","0","0","3","0","3","0","0","2","0","0","0","40","0","0","5","0","0","0"
"103","EPIDEN",NA,"0","1","1","2","1","2","0","1","6","0","0","0","4","1","4","0","2","2","0","0","1","14","0","0","9","2","0","0"
"104","EPIDEN",NA,"1","0","0","1","1","10","0","6","9","0","0","0","1","0","3","0","0","0","0","0","4","26","0","0","5","0","0","0"
"105","EPIDEN",NA,"3","0","0","3","1","0","0","0","2","0","0","0","4","0","4","0","0","3","0","0","2","8","1","0","4","1","0","0"
"106","EPIDEN",NA,"2","0","0","7","0","9","0","0","11","0","0","1","3","1","8","0","0","3","0","0","3","8","1","3","5","0","0","0"
"107","EPIDEN",NA,"1","0","0","6","0","1","0","0","3","0","0","0","4","0","2","0","0","0","0","0","0","2","0","0","16","0","0","0"
"108","EPIDEN",NA,"0","1","0","4","1","2","0","1","1","0","0","0","3","0","1","0","0","1","0","0","1","10","0","0","7","0","0","0"
"109","EPIDEN",NA,"0","0","0","3","0","1","2","0","3","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0"
"110","EPIDEN",NA,"0","0","0","4","0","0","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0"
"111","GILCAP",1,"1","1","0","10","0","3","0","1","8","0","0","0","2","0","6","0","0","1","0","0","6","3","0","0","9","0","0","0"
"112","GILCAP",6,"0","1","0","3","1","7","0","0","0","0","0","0","3","0","6","0","0","4","0","0","0","6","0","0","2","0","0","0"
"113","GILCAP",2,"0","1","0","1","2","0","0","0","0","0","0","0","2","0","4","0","0","4","0","0","3","36","0","0","4","0","0","0"
"114","GILCAP",3,"0","0","0","2","1","4","0","0","2","0","0","0","1","0","4","0","0","4","0","0","1","2","0","0","2","0","0","0"
"115","GILCAP",3,"0","0","0","3","1","2","0","0","8","0","0","0","2","0","2","0","0","1","0","0","0","18","0","0","0","0","0","0"
"116","GILCAP",24,"0","0","0","0","1","4","0","0","7","0","0","0","2","0","5","0","0","0","0","0","0","9","5","0","2","0","0","0"
"117","GILCAP",1,"2","0","0","2","0","9","0","0","3","0","0","1","2","0","4","0","0","1","0","0","0","9","0","0","5","0","0","0"
