park,plot,plot,subplot,PLECON,NAVSQU,PLAFIG,EPIDEN,GILCAP,COLLIN,CLAPUR,COLLOM,LACTUCA,SHEARV,GERANIUM,LEUVUL,CERGLO,LATHVIC,MYOSOTIS,TRIFOLIUM,ERILAN,DAUCAR,A,B,C,D,E,F,G,sedge,LINBIE,VERARV,DICCON,ACMAME
WIR,DIVERSE,4,B1,0,13,1,0,0,2,4,1,0,0,0,0,0,2,0,0,0,1,3,0,0,2,0,0,1,0,,,,
WIR,DIVERSE,4,C1,0,11,0,1,0,1,9,0,0,6,0,0,0,1,0,0,0,12,11,1,0,2,0,0,1,0,,,,
WIR,DIVERSE,4,D1,0,4,0,0,0,0,6,0,0,9,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,,,,
WIR,DIVERSE,4,E1,0,4,0,2,0,0,7,0,0,3,0,0,0,1,3,0,0,2,2,0,1,0,0,0,0,0,,,,
WIR,DIVERSE,4,A2,0,11,4,4,5,3,5,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,
WIR,DIVERSE,4,B2,1,18,0,0,2,5,3,3,0,1,0,0,1,0,1,0,0,1,8,0,0,0,0,0,1,0,,,,
WIR,DIVERSE,4,C2,0,4,0,1,1,0,11,3,0,8,0,0,2,1,0,0,0,5,4,0,1,0,0,0,0,0,,,,
WIR,DIVERSE,4,D2,0,4,0,0,1,0,2,2,0,7,0,0,3,0,1,0,0,4,8,0,0,0,0,0,0,0,,,,
WIR,DIVERSE,4,E2,0,5,0,2,2,1,6,1,0,4,0,0,3,2,4,0,0,7,5,1,1,0,0,0,0,0,,,,
WIR,DIVERSE,4,A3,0,15,0,4,2,2,10,2,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,,,,
WIR,DIVERSE,4,B3,0,13,0,2,1,2,7,1,2,4,0,0,1,0,0,0,0,5,4,1,0,1,0,0,0,0,,1,,
WIR,DIVERSE,4,C3,0,12,1,4,6,7,13,2,3,6,0,0,1,0,1,0,0,2,10,0,0,0,0,0,0,0,,,,
WIR,DIVERSE,4,D3,0,19,0,2,2,0,15,1,0,1,0,0,0,0,1,0,0,2,1,0,0,1,0,0,0,0,,,,
WIR,DIVERSE,4,E3,1,22,0,0,1,2,11,2,0,1,0,0,0,0,0,0,0,1,9,1,0,1,0,0,0,0,,,,
WIR,DIVERSE,4,A4,0,15,0,0,0,2,14,2,0,4,0,0,2,0,0,0,0,8,1,0,0,0,0,0,0,0,,,,
WIR,DIVERSE,4,B4,0,8,0,0,0,3,22,1,1,8,0,0,3,2,0,0,0,6,6,0,0,0,0,0,0,0,,2,,
WIR,DIVERSE,4,C4,0,29,0,2,2,2,14,2,1,1,0,0,1,0,1,0,0,7,3,0,0,0,0,0,0,0,,,,
WIR,DIVERSE,4,D4,0,20,0,3,2,1,15,3,0,4,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,,,,
WIR,DIVERSE,4,E4,0,22,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,8,5,2,1,2,0,0,0,0,,,,
WIR,DIVERSE,4,A5,0,9,0,3,3,1,17,1,0,1,1,0,2,0,0,0,0,5,1,0,0,0,0,0,0,0,,,,
WIR,DIVERSE,4,B5,0,19,1,0,2,2,9,2,1,1,0,0,0,0,1,0,0,0,3,0,1,1,0,1,0,0,,,,
WIR,DIVERSE,4,C5,1,10,0,4,1,1,16,0,4,0,0,0,2,2,1,0,0,6,6,0,2,0,0,0,0,0,,,,
WIR,DIVERSE,4,D5,0,14,0,1,0,0,13,4,0,3,0,0,0,0,0,0,0,9,11,0,0,0,0,0,0,0,,,,
WIR,DIVERSE,4,E5,0,12,0,3,2,0,18,0,3,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,,,,
WIR,DIVERSE,5,A1,0,29,0,0,3,0,14,1,0,0,0,0,0,0,0,0,0,2,1,0,0,3,0,0,0,0,,,,
WIR,DIVERSE,5,B1,0,38,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,
WIR,DIVERSE,5,C1,0,76,0,2,2,0,5,0,1,1,0,0,1,0,3,0,0,1,4,0,0,0,0,0,0,0,,,,
WIR,DIVERSE,5,D1,2,57,0,4,2,4,5,0,1,0,0,0,2,0,1,0,0,5,1,0,0,1,0,0,0,0,,,,
WIR,DIVERSE,5,E1,1,42,0,1,3,1,12,0,0,0,0,0,1,0,0,0,0,6,4,0,1,2,0,0,0,0,,,,
WIR,DIVERSE,5,A2,0,71,0,0,2,1,7,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,,,,
WIR,DIVERSE,5,B2,0,19,0,0,0,0,8,1,1,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,,,,
WIR,DIVERSE,5,C2,0,25,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,6,1,0,3,0,0,0,0,0,,,,
WIR,DIVERSE,5,D2,0,52,0,1,3,5,7,0,0,1,0,0,0,0,2,0,0,3,0,0,0,2,0,0,0,0,,,,
WIR,DIVERSE,5,E2,0,20,2,2,3,2,5,3,0,0,0,0,1,0,3,0,0,5,3,2,0,0,0,0,0,0,,,,
WIR,DIVERSE,5,A3,0,19,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,,,,
WIR,DIVERSE,5,B3,0,15,0,0,1,0,17,0,1,2,0,0,0,0,1,0,0,7,4,0,0,3,0,0,0,0,,,,
WIR,DIVERSE,5,C3,0,17,0,1,1,1,17,0,0,0,0,0,0,0,3,0,0,5,12,0,1,1,0,4,0,0,,,,
WIR,DIVERSE,5,D3,0,18,2,1,7,0,15,1,0,0,0,0,0,0,1,0,0,9,3,0,0,2,0,0,0,0,,,,
WIR,DIVERSE,5,E3,0,16,0,3,4,0,8,0,0,0,1,0,0,0,2,0,0,10,7,0,0,0,0,0,0,0,,,,
WIR,DIVERSE,5,A4,0,49,0,3,5,3,6,0,2,1,0,0,2,0,0,0,0,1,1,0,2,0,0,0,0,0,,,,
WIR,DIVERSE,5,B4,0,32,1,4,0,0,7,0,2,2,0,0,0,0,6,0,0,6,1,0,0,2,0,0,0,0,,,,
WIR,DIVERSE,5,C4,0,9,0,0,0,1,7,0,1,1,0,0,2,0,5,0,0,4,7,0,0,0,0,0,0,0,,,,
WIR,DIVERSE,5,D4,1,11,0,0,3,1,15,0,0,3,0,0,0,0,3,0,0,9,12,0,2,0,0,2,0,0,,,,
WIR,DIVERSE,5,E4,0,38,0,6,2,2,18,0,0,3,0,0,4,1,6,0,0,5,9,0,0,1,0,0,0,0,,,,
WIR,DIVERSE,5,A5,0,46,0,0,3,0,6,0,0,7,0,0,0,0,2,0,0,5,3,0,1,0,0,0,0,0,,,,
WIR,DIVERSE,5,B5,0,8,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,6,4,0,1,1,0,0,0,0,,,,
WIR,DIVERSE,5,C5,0,5,0,1,1,0,10,0,0,1,0,0,0,1,0,0,0,6,5,0,0,0,0,0,0,0,,,,
WIR,DIVERSE,5,D5,0,8,0,2,0,0,9,0,0,4,0,0,0,0,4,0,0,5,3,0,0,0,0,0,0,0,,,,
WIR,DIVERSE,5,E5,0,9,0,1,0,0,11,0,0,2,0,0,0,0,2,0,0,0,4,0,2,0,0,0,0,0,,,1,
WIR,DIVERSE,6,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,6,B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,6,C1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,6,D1,0,0,0,0,0,0,2,0,3,8,2,0,2,0,0,0,0,5,6,0,2,1,0,4,0,0,,,,
WIR,DIVERSE,6,E1,0,0,0,0,0,0,4,0,5,5,0,2,9,0,2,0,0,4,8,0,0,1,0,0,0,0,,,,
WIR,DIVERSE,6,A2,0,2,0,0,0,0,7,0,3,2,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,,,,
WIR,DIVERSE,6,B2,0,4,0,0,0,0,7,0,1,3,0,1,0,0,1,0,0,2,1,0,1,0,0,0,0,0,,1,,
WIR,DIVERSE,6,C2,0,2,0,0,0,0,5,0,4,5,0,0,3,0,0,0,0,7,6,0,0,0,0,0,0,0,,,,
WIR,DIVERSE,6,D2,0,1,0,0,0,0,4,0,1,4,0,0,6,0,2,0,0,1,6,1,1,0,0,2,0,0,,,,
WIR,DIVERSE,6,E2,0,0,0,0,0,0,5,0,1,6,0,2,3,0,3,0,1,0,10,0,1,0,0,5,0,0,,,,
WIR,DIVERSE,6,A3,0,1,0,0,0,0,7,0,3,0,0,1,3,0,1,0,0,4,0,0,0,0,0,0,0,0,,,,
WIR,DIVERSE,6,B3,0,6,0,4,2,1,5,0,3,3,0,0,3,0,0,0,0,3,1,0,0,1,0,2,0,0,,,,
WIR,DIVERSE,6,C3,0,9,0,3,0,2,6,0,5,3,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,,4,,
WIR,DIVERSE,6,D3,0,0,0,1,0,0,6,0,4,0,0,0,4,0,3,0,0,0,3,2,0,1,0,2,0,0,,,,
WIR,DIVERSE,6,E3,0,1,0,0,1,0,3,0,6,2,0,1,9,0,0,0,1,8,0,0,0,0,0,4,0,0,,,,
WIR,DIVERSE,6,A4,0,7,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,,,,
WIR,DIVERSE,6,B4,0,40,0,0,2,0,8,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,2,0,0,,,,
WIR,DIVERSE,6,C4,0,69,1,4,2,0,5,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,,,,
WIR,DIVERSE,6,D4,0,7,0,2,1,0,5,0,3,4,0,1,4,0,0,0,0,4,6,0,0,0,0,1,0,0,,,,
WIR,DIVERSE,6,E4,0,12,0,0,1,0,4,1,6,4,0,0,10,0,6,0,0,5,15,0,0,0,0,0,0,0,,1,,
WIR,DIVERSE,6,A5,0,19,0,0,0,1,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,
WIR,DIVERSE,6,B5,0,21,0,3,2,0,5,0,0,0,0,0,1,0,0,0,0,2,3,1,0,0,0,0,0,0,,,,
WIR,DIVERSE,6,C5,0,55,0,4,3,1,4,0,0,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,,,,
WIR,DIVERSE,6,D5,0,24,0,1,1,0,3,1,0,7,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,,,,
WIR,DIVERSE,6,E5,0,16,0,0,0,0,3,2,1,4,0,0,2,0,0,0,0,2,8,0,0,0,0,0,0,0,1,,,
WIR,DIVERSE,7,A1,0,10,1,1,0,0,6,2,0,0,0,0,0,0,2,0,0,7,3,0,0,7,0,4,0,0,,1,,
WIR,DIVERSE,7,B1,0,18,0,3,7,2,5,2,0,1,0,0,1,0,0,0,0,7,0,0,0,2,0,0,0,0,,2,,
WIR,DIVERSE,7,C1,0,15,0,3,2,8,10,1,2,1,1,0,4,0,2,0,0,9,0,0,0,0,0,0,0,0,,2,,
WIR,DIVERSE,7,D1,0,9,1,6,4,6,9,2,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,,1,,
WIR,DIVERSE,7,E1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,7,A2,0,3,0,2,0,0,5,0,0,1,0,0,2,0,0,0,0,4,0,0,1,2,0,0,0,0,,2,,4
WIR,DIVERSE,7,B2,0,9,1,4,1,1,8,0,0,2,0,1,0,0,0,0,0,2,0,2,0,1,0,0,0,0,,2,,
WIR,DIVERSE,7,C2,0,15,0,1,0,0,5,0,1,1,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,,,,2
WIR,DIVERSE,7,D2,0,6,0,1,0,1,7,0,3,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,,,,1
WIR,DIVERSE,7,E2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,7,A3,0,7,0,1,0,1,9,0,0,3,0,0,4,0,1,0,0,5,0,0,0,0,0,0,0,0,,1,,
WIR,DIVERSE,7,B3,0,14,0,5,2,1,15,0,1,3,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,,,,
WIR,DIVERSE,7,C3,0,11,1,1,1,1,7,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,2
WIR,DIVERSE,7,D3,0,4,0,0,0,0,4,0,5,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,,,,
WIR,DIVERSE,7,E3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,7,A4,0,1,0,0,0,0,5,0,2,1,0,1,2,0,0,0,0,4,0,0,0,0,0,0,0,0,,,,
WIR,DIVERSE,7,B4,0,8,0,3,1,0,6,2,2,2,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,,,,
WIR,DIVERSE,7,C4,0,15,0,0,0,0,12,0,1,4,0,2,0,0,0,0,0,3,0,1,0,0,0,0,0,0,,,,
WIR,DIVERSE,7,D4,0,13,0,0,0,0,9,0,3,1,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,,4,,
WIR,DIVERSE,7,E4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,7,A5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,7,B5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,7,C5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,7,D5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,7,E5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,8,A1,0,31,0,2,3,4,4,0,0,0,0,0,1,0,0,0,0,2,2,1,0,1,0,0,0,0,,1,,
WIR,DIVERSE,8,B1,0,26,0,7,4,5,12,0,1,0,0,1,2,1,0,0,0,5,0,0,0,0,0,0,0,0,,2,,
WIR,DIVERSE,8,C1,0,17,0,1,0,2,11,3,3,0,0,0,0,0,7,0,0,5,0,0,0,1,0,0,0,0,,,,
WIR,DIVERSE,8,D1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,8,E1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,8,A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,8,B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,8,C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,8,D2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,8,E2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,8,A3,0,30,0,4,3,2,12,0,0,1,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,,3,,
WIR,DIVERSE,8,B3,0,40,1,7,3,3,3,0,0,0,0,0,1,0,0,0,0,7,2,0,0,0,0,0,0,0,,2,,
WIR,DIVERSE,8,C3,0,35,0,4,2,2,4,0,3,0,0,0,0,1,3,0,0,2,1,0,0,0,0,0,0,0,,,,
WIR,DIVERSE,8,D3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,8,E3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,8,A4,0,67,0,5,2,2,4,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,,,,
WIR,DIVERSE,8,B4,0,28,0,3,4,4,2,1,0,5,0,0,0,2,0,0,0,7,0,2,0,0,0,0,1,0,,4,,
WIR,DIVERSE,8,C4,0,36,3,0,2,4,4,0,0,0,0,1,3,0,2,0,0,15,0,0,0,0,0,0,0,0,,3,,1
WIR,DIVERSE,8,D4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,8,E4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
