park,plot,plot,subplot,focal_collect,PLECON,NAVSQU,PLAFIG,EPIDEN,GILCAP,COLLIN,CLAPUR,COLLOM,LACTUCA,MYO,CHICKWEED,VICIA,MADIA,LEUVUL,DAUCUS,LINBIE,PLANTAIN,GERANIUM,GALIUM,SHEARV,CAMAS,CLOVER,J,C,F,G,H,I,VERARV,A,SEDGE,EPICIL,ERILAN,JUNCUS,SCARLET PIMPERNEL,LUPBIC,D,FRLA
BR,DIVERSE,2,C3,,0,6,0,0,0,0,0,0,0,0,1,0,8,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
BR,DIVERSE,2,D3,,0,3,0,2,0,0,1,1,2,0,0,0,11,0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,,,,,,
BR,DIVERSE,2,E3,,0,0,0,0,0,0,0,2,2,0,2,0,11,0,2,3,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,,,,,,,
BR,DIVERSE,2,A4,,1,2,0,4,0,1,0,2,0,0,2,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,
BR,DIVERSE,2,B4,,0,4,0,0,0,1,0,0,0,0,0,0,7,0,2,5,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,
BR,DIVERSE,2,C4,,0,0,0,0,0,1,0,1,0,0,0,0,15,0,2,5,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,,,,,,,
BR,DIVERSE,2,D4,,0,3,0,0,0,0,0,1,1,0,0,0,6,0,0,1,0,0,1,0,0,0,0,1,5,0,0,0,1,0,0,,,,,,,
BR,DIVERSE,2,E4,,0,1,0,0,0,0,0,1,3,0,1,0,12,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
BR,DIVERSE,2,A5,,0,3,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,,,,,,,
BR,DIVERSE,2,B5,,0,6,0,2,0,3,1,1,1,0,0,0,4,1,2,6,0,2,0,0,3,0,0,7,0,0,0,0,0,0,0,,,,,,,
BR,DIVERSE,2,C5,,3,3,0,1,0,1,3,0,0,1,0,0,6,1,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,,,,,,
BR,DIVERSE,2,D5,,0,1,0,0,0,0,1,2,1,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,
BR,DIVERSE,2,E5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR,DIVERSE,3,A1,,2,0,0,3,3,0,4,4,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,,,,,,
BR,DIVERSE,3,B1,,3,1,0,0,2,1,1,2,3,3,0,0,11,0,1,2,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,,,,,,
