"","species_name_wir","neighbor_name_wir","mean","lower","upper"
"1","CLAPUR","A",-0.00964069564695905,-0.151196472410299,0.119430421890212
"2","CLAPUR","ACMAME",0.282748801584976,-0.151674008901368,0.687740491351016
"3","CLAPUR","B",0.212914175627533,-0.454769789943591,0.833601275648401
"4","CLAPUR","C",0.0558342309156543,-0.461159041650108,0.525300120557824
"5","CLAPUR","CERGLO",-0.172083987722917,-0.457587008609267,0.0918214088332724
"6","CLAPUR","CLAPUR",0.0828374256434523,0.0462199572179309,0.117224024296885
"7","CLAPUR","COLLIN",0.180394696378879,-0.10049983263906,0.450973631609715
"8","CLAPUR","COLLOM",0.043829396387897,-0.0776784222964728,0.160166490782526
"9","CLAPUR","D",-0.271716984609149,-0.746265535941352,0.204731323494226
"10","CLAPUR","DAUCAR",0.0561354459913252,-0.0804573991384951,0.197876245565999
"11","CLAPUR","DICCON",0.013465543102536,-0.170644992100048,0.198897797326532
"12","CLAPUR","E",0.0155779210139267,-0.161127161254687,0.20295127460436
"13","CLAPUR","EPIDEN",-0.0460519580446586,-0.214591785914856,0.121756976581488
"14","CLAPUR","ERILAN",0.0369514787310617,-0.130268425819269,0.214773282486841
"15","CLAPUR","F",-0.741200458827266,-2.33111137929769,0.870979583606186
"16","CLAPUR","G",0.0165679686624691,-1.04984699523207,1.00036079625352
"17","CLAPUR","GERANIUM",-0.612831317252811,-1.87071119832616,0.589503678248021
"18","CLAPUR","GILCAP",-0.201717448254183,-0.436715164936924,0.0190512420981894
"19","CLAPUR","LACTUCA",0.0721131295562679,-0.181882178083294,0.315443087697619
"20","CLAPUR","LATHVIC",0.136082180713519,-0.145163803373522,0.390254081590254
"21","CLAPUR","LEUVUL",-0.0789790592419974,-0.851408517138538,0.601702814519809
"22","CLAPUR","LINBIE",0.0143758002039528,-0.162592405092757,0.201518753439219
"23","CLAPUR","MYOSOTIS",0.03144810952815,-0.213189582235618,0.25271695471247
"24","CLAPUR","NAVSQU",0.0311438879266133,0.009846516762537,0.0510924623809974
"25","CLAPUR","PLAFIG",-0.227136982144053,-0.947144089551767,0.454463316607788
"26","CLAPUR","PLECON",-0.252314097266854,-1.33625895107381,0.794793549248108
"27","CLAPUR","SHEARV",0.0272644116919179,-0.120280481256688,0.163667879308995
"28","CLAPUR","TRIFOLIUM",0.137693557763335,-0.0141977605805192,0.307182935016862
"29","CLAPUR","VERARV",-0.0413106366734636,-0.460955395631682,0.355316519301438
"30","CLAPUR","sedge",0.0987375448002231,-0.101290991565425,0.287488148715207
"31","COLLIN","A",0.00542037383016915,-0.0156674941087002,0.0281621764325415
"32","COLLIN","ACMAME",0.0532129111946401,-0.0270969421749129,0.151366654707353
"33","COLLIN","B",0.0454890065386388,-0.0271057097365073,0.127388437822508
"34","COLLIN","C",-0.0117977802984479,-0.0835038996053203,0.0560914895836024
"35","COLLIN","CERGLO",-0.0373501838074591,-0.0879451133125932,0.00537163831513929
"36","COLLIN","CLAPUR",0.028311849481299,0.0177551611367738,0.0403216614850575
"37","COLLIN","COLLIN",0.0425550404515269,0.0146055387444064,0.0747479195111355
"38","COLLIN","COLLOM",0.0400149187416267,0.0138434549434068,0.0704924964677181
"39","COLLIN","D",0.0381581334944325,-0.00824732412651586,0.0913870827701257
"40","COLLIN","DAUCAR",0.0446482414274299,0.0244756278074653,0.0684633707158765
"41","COLLIN","DICCON",0.00841936034825049,-0.106529776632363,0.128249577193127
"42","COLLIN","E",0.00964319054329011,-0.103687768058976,0.1278775508891
"43","COLLIN","EPIDEN",0.00342882173909271,-0.0285499208403977,0.0360920762269919
"44","COLLIN","ERILAN",0.0231661674584339,-0.0845847853888769,0.137630713156489
"45","COLLIN","F",0.0220250286406872,-0.0533587361128856,0.101050802236975
"46","COLLIN","G",-0.0128207247304934,-0.117711879381389,0.0817713061881007
"47","COLLIN","GERANIUM",0.0216351859477069,-0.076383586665677,0.129780570632821
"48","COLLIN","GILCAP",0.0224342472319741,-0.00594116082392305,0.0545745279485127
"49","COLLIN","LACTUCA",0.0714423687518112,0.0211094745389146,0.130909385008311
"50","COLLIN","LATHVIC",0.0789659136240476,0.0306799874719853,0.138663144423828
"51","COLLIN","LEUVUL",-0.0117730634255595,-0.117954625607869,0.087355417736809
"52","COLLIN","LINBIE",0.00905033521884681,-0.10451893540634,0.131557488306271
"53","COLLIN","MYOSOTIS",0.0137648262007577,-0.0304142578437876,0.061265439643999
"54","COLLIN","NAVSQU",0.0118791711804218,0.00740761753282332,0.0171687734284332
"55","COLLIN","PLAFIG",0.000471366938762093,-0.0574868223957078,0.0584116035989657
"56","COLLIN","PLECON",0.0926094146183149,0.0227961898538342,0.173641656902589
"57","COLLIN","SHEARV",0.0345208320191685,0.00478309193270707,0.0687991556540725
"58","COLLIN","TRIFOLIUM",0.0865714744862485,-0.00899129249983822,0.20384533311745
"59","COLLIN","VERARV",-0.0292666111950004,-0.0971718930388574,0.0331490523804912
"60","COLLIN","sedge",0.0632511616372794,0.0166279910654783,0.119233786839247
"61","COLLOM","A",0.166254471596383,-0.098700610867614,0.412498857677226
"62","COLLOM","ACMAME",0.135787813700616,-0.865201625448317,1.12299314836583
"63","COLLOM","B",0.0566598669278822,-1.0142646375788,1.05213110151389
"64","COLLOM","C",-0.683208742804888,-2.00742875358757,0.717267918431024
"65","COLLOM","CERGLO",-0.0115763779934534,-1.05192918321667,1.01815039035898
"66","COLLOM","CLAPUR",0.128328660506348,0.0403166142594595,0.210861152336533
"67","COLLOM","COLLIN",-0.182584890846437,-0.543210399214736,0.178575929784997
