species,plot,seeds,CLAPUR,COLLIN,COLLOM,EPIDEN,GILCAP,NAVSQU,PLAFIG,PLECON
COLLIN,DIVERSE,24,4,3,2,7,4,4,0,0
COLLIN,DIVERSE,24,3,1,2,4,3,18,0,0
COLLIN,DIVERSE,32,0,3,3,3,3,4,0,0
COLLIN,DIVERSE,24,3,5,4,7,7,12,3,0
COLLIN,DIVERSE,24,1,4,3,3,4,9,1,0
COLLIN,DIVERSE,40,1,4,16,6,9,20,0,0
GILCAP,DIVERSE,200,1,2,6,13,5,34,0,0
GILCAP,DIVERSE,420,0,0,5,4,3,17,0,0
GILCAP,DIVERSE,140,2,0,1,1,3,1,0,0
GILCAP,DIVERSE,20,10,0,3,8,6,3,0,0
GILCAP,DIVERSE,120,1,2,2,2,1,2,0,0
GILCAP,DIVERSE,80,4,0,4,4,4,15,0,0
GILCAP,DIVERSE,100,0,1,6,0,2,7,0,0
GILCAP,DIVERSE,100,2,1,10,6,4,5,0,0
GILCAP,DIVERSE,20,2,0,9,3,4,9,0,0
GILCAP,DIVERSE,40,6,0,1,2,4,2,0,0
GILCAP,DIVERSE,300,3,0,1,0,1,0,0,0
GILCAP,DIVERSE,220,10,1,0,1,3,9,0,0
GILCAP,DIVERSE,120,5,1,1,2,3,4,0,0
GILCAP,DIVERSE,480,0,1,4,7,5,9,5,0
GILCAP,DIVERSE,60,3,1,2,8,2,18,0,0
GILCAP,DIVERSE,60,2,1,4,2,4,2,0,0
GILCAP,DIVERSE,40,1,2,0,0,4,36,0,0
GILCAP,DIVERSE,120,3,1,7,0,6,6,0,0
GILCAP,DIVERSE,60,3,0,1,0,1,4,0,0
GILCAP,DIVERSE,40,2,0,8,4,2,23,0,0
GILCAP,DIVERSE,80,3,2,1,1,5,17,2,0
GILCAP,DIVERSE,80,1,2,1,3,1,12,0,0
GILCAP,DIVERSE,300,2,0,0,4,2,14,0,0
GILCAP,DIVERSE,40,4,0,3,5,4,10,0,0
GILCAP,DIVERSE,200,1,0,3,2,1,11,0,0
GILCAP,DIVERSE,40,6,1,4,10,5,33,0,0
GILCAP,DIVERSE,20,3,2,3,0,4,4,0,0
GILCAP,DIVERSE,20,13,0,2,3,1,4,3,0
GILCAP,DIVERSE,20,6,0,8,2,4,13,0,0
PLAFIG,DIVERSE,104,3,0,1,0,2,2,1,0
PLAFIG,DIVERSE,12,2,0,9,2,1,16,1,0
PLAFIG,DIVERSE,112,2,1,1,9,6,25,2,0
PLAFIG,DIVERSE,100,3,2,0,3,5,25,3,1
PLAFIG,DIVERSE,16,5,4,7,9,5,14,3,1
PLAFIG,DIVERSE,128,4,0,0,4,5,18,2,0
PLAFIG,DIVERSE,48,3,0,0,2,4,20,1,0
PLAFIG,DIVERSE,8,1,5,2,8,5,7,3,1
PLAFIG,DIVERSE,156,1,4,3,3,4,9,1,0
PLAFIG,DIVERSE,152,0,1,4,7,5,9,5,0
PLAFIG,DIVERSE,24,5,1,4,9,2,9,2,0
PLAFIG,DIVERSE,20,4,2,6,3,4,10,1,0
PLAFIG,DIVERSE,16,10,2,3,7,2,13,2,0
PLAFIG,DIVERSE,16,8,1,10,6,3,13,5,0
PLAFIG,DIVERSE,80,8,1,10,6,3,13,5,0
PLECON,DIVERSE,0,0,3,5,2,3,11,1,0
COLLOM,ALONE,21,NA,NA,NA,NA,NA,NA,NA,NA
COLLOM,ALONE,30,NA,NA,NA,NA,NA,NA,NA,NA
COLLOM,ALONE,15,NA,NA,NA,NA,NA,NA,NA,NA
COLLOM,ALONE,15,NA,NA,NA,NA,NA,NA,NA,NA
COLLOM,ALONE,39,NA,NA,NA,NA,NA,NA,NA,NA
NAVSQU,ALONE,29420,NA,NA,NA,NA,NA,NA,NA,NA
NAVSQU,ALONE,16920,NA,NA,NA,NA,NA,NA,NA,NA
NAVSQU,ALONE,39200,NA,NA,NA,NA,NA,NA,NA,NA
NAVSQU,ALONE,14360,NA,NA,NA,NA,NA,NA,NA,NA
NAVSQU,ALONE,26963.8175053908,NA,NA,NA,NA,NA,NA,NA,NA
NAVSQU,ALONE,10820,NA,NA,NA,NA,NA,NA,NA,NA
NAVSQU,ALONE,48840,NA,NA,NA,NA,NA,NA,NA,NA
NAVSQU,ALONE,1940,NA,NA,NA,NA,NA,NA,NA,NA
NAVSQU,ALONE,39080,NA,NA,NA,NA,NA,NA,NA,NA
NAVSQU,ALONE,34222.187984499,NA,NA,NA,NA,NA,NA,NA,NA
CLAPUR,ALONE,140,NA,NA,NA,NA,NA,NA,NA,NA
CLAPUR,ALONE,220,NA,NA,NA,NA,NA,NA,NA,NA
CLAPUR,ALONE,440,NA,NA,NA,NA,NA,NA,NA,NA
CLAPUR,ALONE,200,NA,NA,NA,NA,NA,NA,NA,NA
CLAPUR,ALONE,580,NA,NA,NA,NA,NA,NA,NA,NA
CLAPUR,ALONE,320,NA,NA,NA,NA,NA,NA,NA,NA
CLAPUR,ALONE,40,NA,NA,NA,NA,NA,NA,NA,NA
CLAPUR,ALONE,160,NA,NA,NA,NA,NA,NA,NA,NA
CLAPUR,ALONE,200,NA,NA,NA,NA,NA,NA,NA,NA
CLAPUR,ALONE,180,NA,NA,NA,NA,NA,NA,NA,NA
GILCAP,ALONE,680,NA,NA,NA,NA,NA,NA,NA,NA
GILCAP,ALONE,740,NA,NA,NA,NA,NA,NA,NA,NA
GILCAP,ALONE,780,NA,NA,NA,NA,NA,NA,NA,NA
GILCAP,ALONE,180,NA,NA,NA,NA,NA,NA,NA,NA
GILCAP,ALONE,1120,NA,NA,NA,NA,NA,NA,NA,NA
GILCAP,ALONE,420,NA,NA,NA,NA,NA,NA,NA,NA
GILCAP,ALONE,1080,NA,NA,NA,NA,NA,NA,NA,NA
GILCAP,ALONE,340,NA,NA,NA,NA,NA,NA,NA,NA
GILCAP,ALONE,860,NA,NA,NA,NA,NA,NA,NA,NA
GILCAP,ALONE,600,NA,NA,NA,NA,NA,NA,NA,NA
PLAFIG,ALONE,2896,NA,NA,NA,NA,NA,NA,NA,NA
PLAFIG,ALONE,1864,NA,NA,NA,NA,NA,NA,NA,NA
PLAFIG,ALONE,6820,NA,NA,NA,NA,NA,NA,NA,NA
PLAFIG,ALONE,716,NA,NA,NA,NA,NA,NA,NA,NA
PLAFIG,ALONE,452,NA,NA,NA,NA,NA,NA,NA,NA
PLAFIG,ALONE,2260,NA,NA,NA,NA,NA,NA,NA,NA
PLAFIG,ALONE,2176,NA,NA,NA,NA,NA,NA,NA,NA
PLAFIG,ALONE,2752,NA,NA,NA,NA,NA,NA,NA,NA
PLAFIG,ALONE,2928,NA,NA,NA,NA,NA,NA,NA,NA
PLAFIG,ALONE,1188,NA,NA,NA,NA,NA,NA,NA,NA
PLAFIG,ALONE,4220,NA,NA,NA,NA,NA,NA,NA,NA
PLECON,ALONE,150,NA,NA,NA,NA,NA,NA,NA,NA
PLECON,ALONE,250,NA,NA,NA,NA,NA,NA,NA,NA
PLECON,ALONE,320,NA,NA,NA,NA,NA,NA,NA,NA
PLECON,ALONE,580,NA,NA,NA,NA,NA,NA,NA,NA
PLECON,ALONE,70,NA,NA,NA,NA,NA,NA,NA,NA
PLECON,ALONE,350,NA,NA,NA,NA,NA,NA,NA,NA
PLECON,ALONE,400,NA,NA,NA,NA,NA,NA,NA,NA
PLECON,ALONE,100,NA,NA,NA,NA,NA,NA,NA,NA
COLLIN,ALONE,72,NA,NA,NA,NA,NA,NA,NA,NA
COLLIN,ALONE,96,NA,NA,NA,NA,NA,NA,NA,NA
COLLIN,ALONE,68,NA,NA,NA,NA,NA,NA,NA,NA
COLLIN,ALONE,60,NA,NA,NA,NA,NA,NA,NA,NA
COLLIN,ALONE,76,NA,NA,NA,NA,NA,NA,NA,NA
EPIDEN,DIVERSE,165,2,0,4,5,4,26,1,0
EPIDEN,DIVERSE,75,0,0,5,4,3,17,0,0
EPIDEN,DIVERSE,30,4,0,5,9,5,4,0,0
EPIDEN,DIVERSE,285,2,0,8,2,3,2,0,0
EPIDEN,DIVERSE,135,0,0,5,1,0,1,0,0
EPIDEN,DIVERSE,60,2,5,5,4,4,4,0,0
EPIDEN,DIVERSE,195,3,0,0,2,4,20,1,0
EPIDEN,DIVERSE,195,2,0,1,2,1,2,0,0
EPIDEN,DIVERSE,195,8,1,4,6,5,15,3,0
EPIDEN,DIVERSE,135,7,1,1,9,4,18,2,0
EPIDEN,DIVERSE,225,0,0,0,1,1,0,0,0
EPIDEN,DIVERSE,75,0,0,1,2,2,1,0,0
EPIDEN,DIVERSE,300,2,1,7,3,4,19,3,0
EPIDEN,DIVERSE,435,1,2,8,11,3,9,2,0
EPIDEN,DIVERSE,150,4,0,0,1,0,0,0,0
EPIDEN,DIVERSE,150,3,0,1,3,0,0,0,0
EPIDEN,DIVERSE,165,6,0,1,3,2,2,0,0
EPIDEN,DIVERSE,135,4,1,2,1,1,10,0,0
EPIDEN,DIVERSE,1455,0,0,0,1,0,1,0,0
EPIDEN,DIVERSE,180,3,1,5,5,3,27,0,0
EPIDEN,DIVERSE,45,1,2,3,15,3,17,0,0
EPIDEN,DIVERSE,360,2,1,2,6,4,14,0,0
EPIDEN,DIVERSE,300,2,1,5,4,3,40,0,0
EPIDEN,DIVERSE,165,4,2,6,3,4,10,1,0
EPIDEN,DIVERSE,255,1,1,10,9,3,26,0,0
EPIDEN,DIVERSE,150,0,1,9,2,0,8,0,0
EPIDEN,DIVERSE,795,4,0,2,16,2,11,0,0
EPIDEN,DIVERSE,135,8,0,3,6,1,27,0,1
EPIDEN,DIVERSE,120,0,0,2,1,2,18,0,0
EPIDEN,DIVERSE,135,7,0,9,11,8,8,1,3
EPIDEN,DIVERSE,255,3,1,0,2,4,8,1,0
EPIDEN,ALONE,630,NA,NA,NA,NA,NA,NA,NA,NA
EPIDEN,ALONE,915,NA,NA,NA,NA,NA,NA,NA,NA
EPIDEN,ALONE,1170,NA,NA,NA,NA,NA,NA,NA,NA
EPIDEN,ALONE,675,NA,NA,NA,NA,NA,NA,NA,NA
EPIDEN,ALONE,180,NA,NA,NA,NA,NA,NA,NA,NA
EPIDEN,ALONE,1485,NA,NA,NA,NA,NA,NA,NA,NA
EPIDEN,ALONE,2490,NA,NA,NA,NA,NA,NA,NA,NA
EPIDEN,ALONE,2340,NA,NA,NA,NA,NA,NA,NA,NA
EPIDEN,ALONE,1004.94567197686,NA,NA,NA,NA,NA,NA,NA,NA
EPIDEN,ALONE,1150.58152007759,NA,NA,NA,NA,NA,NA,NA,NA
