species,plot,seeds,CLAPUR,COLLIN,COLLOM,EPIDEN,GILCAP,NAVSQU,PLAFIG,PLECON
PLAFIG,DIVERSE,16,1,4,4,7,3,9,5,1
PLAFIG,DIVERSE,32,1,4,4,7,3,9,5,1
PLAFIG,DIVERSE,12,7,1,3,3,3,11,3,2
PLAFIG,DIVERSE,12,9,0,8,9,5,22,5,3
PLAFIG,DIVERSE,8,0,2,4,0,2,0,0,2
PLAFIG,DIVERSE,12,4,0,4,10,2,5,2,1
PLAFIG,DIVERSE,104,1,0,2,2,8,9,1,1
PLAFIG,DIVERSE,12,5,3,5,2,0,0,0,1
PLAFIG,DIVERSE,56,6,1,0,9,7,5,1,0
PLAFIG,DIVERSE,8,1,1,1,7,4,3,2,0
PLAFIG,DIVERSE,4,2,3,2,6,4,6,0,0
PLAFIG,DIVERSE,32,1,0,0,0,8,3,1,0
PLAFIG,DIVERSE,8,0,1,1,5,1,38,1,2
PLAFIG,DIVERSE,12,0,1,6,3,3,7,1,0
PLAFIG,DIVERSE,12,1,1,3,4,0,2,0,1
PLAFIG,DIVERSE,16,1,1,0,0,0,10,1,0
PLAFIG,DIVERSE,32,0,4,3,7,5,6,1,0
PLECON,DIVERSE,20,NA,NA,NA,NA,NA,NA,NA,NA
PLECON,DIVERSE,40,0,0,1,0,0,19,1,2
PLECON,DIVERSE,20,2,0,3,5,1,12,0,2
PLECON,DIVERSE,20,0,5,1,2,0,1,0,2
PLECON,DIVERSE,50,0,2,0,1,1,1,0,2
PLECON,DIVERSE,20,3,1,0,1,0,3,0,3
PLECON,DIVERSE,100,1,1,1,1,0,5,0,1
PLECON,DIVERSE,40,2,3,2,2,1,1,0,1
PLECON,DIVERSE,40,1,1,2,0,2,1,0,3
PLECON,DIVERSE,40,1,0,0,0,2,0,0,2
PLECON,DIVERSE,20,3,0,2,2,2,0,0,1
PLECON,DIVERSE,20,11,0,1,1,1,2,1,1
PLECON,DIVERSE,30,1,1,3,4,0,2,0,1
PLECON,DIVERSE,20,3,2,2,6,3,4,1,1
PLECON,DIVERSE,60,2,0,0,6,4,7,1,1
PLECON,DIVERSE,30,0,0,0,2,4,2,0,1
PLECON,DIVERSE,40,2,2,2,4,2,13,0,1
PLECON,DIVERSE,20,0,0,2,2,0,4,1,1
PLECON,DIVERSE,20,5,0,1,6,2,3,1,0
PLECON,DIVERSE,20,4,0,0,5,0,25,1,1
PLECON,DIVERSE,20,0,0,1,0,0,19,1,2
PLECON,DIVERSE,50,3,0,2,2,5,9,0,1
COLLOM,ALONE,63,NA,NA,NA,NA,NA,NA,NA,NA
COLLOM,ALONE,186,NA,NA,NA,NA,NA,NA,NA,NA
COLLOM,ALONE,387,NA,NA,NA,NA,NA,NA,NA,NA
COLLOM,ALONE,12,NA,NA,NA,NA,NA,NA,NA,NA
NAVSQU,ALONE,43300,NA,NA,NA,NA,NA,NA,NA,NA
NAVSQU,ALONE,12500,NA,NA,NA,NA,NA,NA,NA,NA
NAVSQU,ALONE,7600,NA,NA,NA,NA,NA,NA,NA,NA
NAVSQU,ALONE,12643.1326646014,NA,NA,NA,NA,NA,NA,NA,NA
NAVSQU,ALONE,13580.1374297862,NA,NA,NA,NA,NA,NA,NA,NA
NAVSQU,ALONE,8860,NA,NA,NA,NA,NA,NA,NA,NA
NAVSQU,ALONE,8200,NA,NA,NA,NA,NA,NA,NA,NA
NAVSQU,ALONE,10840,NA,NA,NA,NA,NA,NA,NA,NA
NAVSQU,ALONE,1980,NA,NA,NA,NA,NA,NA,NA,NA
NAVSQU,ALONE,7980,NA,NA,NA,NA,NA,NA,NA,NA
CLAPUR,ALONE,220,NA,NA,NA,NA,NA,NA,NA,NA
CLAPUR,ALONE,40,NA,NA,NA,NA,NA,NA,NA,NA
CLAPUR,ALONE,60,NA,NA,NA,NA,NA,NA,NA,NA
CLAPUR,ALONE,80,NA,NA,NA,NA,NA,NA,NA,NA
CLAPUR,ALONE,180,NA,NA,NA,NA,NA,NA,NA,NA
CLAPUR,ALONE,80,NA,NA,NA,NA,NA,NA,NA,NA
CLAPUR,ALONE,180,NA,NA,NA,NA,NA,NA,NA,NA
CLAPUR,ALONE,220,NA,NA,NA,NA,NA,NA,NA,NA
CLAPUR,ALONE,60,NA,NA,NA,NA,NA,NA,NA,NA
CLAPUR,ALONE,100,NA,NA,NA,NA,NA,NA,NA,NA
COLLIN,ALONE,64,NA,NA,NA,NA,NA,NA,NA,NA
COLLIN,ALONE,156,NA,NA,NA,NA,NA,NA,NA,NA
COLLIN,ALONE,20,NA,NA,NA,NA,NA,NA,NA,NA
COLLIN,ALONE,48,NA,NA,NA,NA,NA,NA,NA,NA
COLLIN,ALONE,8,NA,NA,NA,NA,NA,NA,NA,NA
COLLIN,ALONE,8,NA,NA,NA,NA,NA,NA,NA,NA
COLLIN,ALONE,12,NA,NA,NA,NA,NA,NA,NA,NA
COLLIN,ALONE,24,NA,NA,NA,NA,NA,NA,NA,NA
COLLIN,ALONE,32,NA,NA,NA,NA,NA,NA,NA,NA
COLLIN,ALONE,4,NA,NA,NA,NA,NA,NA,NA,NA
GILCAP,ALONE,180,NA,NA,NA,NA,NA,NA,NA,NA
GILCAP,ALONE,280,NA,NA,NA,NA,NA,NA,NA,NA
GILCAP,ALONE,300,NA,NA,NA,NA,NA,NA,NA,NA
GILCAP,ALONE,340,NA,NA,NA,NA,NA,NA,NA,NA
GILCAP,ALONE,200,NA,NA,NA,NA,NA,NA,NA,NA
GILCAP,ALONE,320,NA,NA,NA,NA,NA,NA,NA,NA
GILCAP,ALONE,340,NA,NA,NA,NA,NA,NA,NA,NA
GILCAP,ALONE,340,NA,NA,NA,NA,NA,NA,NA,NA
GILCAP,ALONE,280,NA,NA,NA,NA,NA,NA,NA,NA
PLAFIG,ALONE,92,NA,NA,NA,NA,NA,NA,NA,NA
PLAFIG,ALONE,236,NA,NA,NA,NA,NA,NA,NA,NA
PLAFIG,ALONE,428,NA,NA,NA,NA,NA,NA,NA,NA
PLAFIG,ALONE,448,NA,NA,NA,NA,NA,NA,NA,NA
PLAFIG,ALONE,528,NA,NA,NA,NA,NA,NA,NA,NA
PLAFIG,ALONE,868,NA,NA,NA,NA,NA,NA,NA,NA
PLAFIG,ALONE,340,NA,NA,NA,NA,NA,NA,NA,NA
PLAFIG,ALONE,284,NA,NA,NA,NA,NA,NA,NA,NA
PLAFIG,ALONE,264,NA,NA,NA,NA,NA,NA,NA,NA
PLAFIG,ALONE,60,NA,NA,NA,NA,NA,NA,NA,NA
PLECON,ALONE,230,NA,NA,NA,NA,NA,NA,NA,NA
PLECON,ALONE,220,NA,NA,NA,NA,NA,NA,NA,NA
PLECON,ALONE,110,NA,NA,NA,NA,NA,NA,NA,NA
PLECON,ALONE,150,NA,NA,NA,NA,NA,NA,NA,NA
PLECON,ALONE,90,NA,NA,NA,NA,NA,NA,NA,NA
PLECON,ALONE,30,NA,NA,NA,NA,NA,NA,NA,NA
PLECON,ALONE,30,NA,NA,NA,NA,NA,NA,NA,NA
PLECON,ALONE,160,NA,NA,NA,NA,NA,NA,NA,NA
PLECON,ALONE,70,NA,NA,NA,NA,NA,NA,NA,NA
EPIDEN,DIVERSE,90,4,0,0,2,3,4,0,0
EPIDEN,DIVERSE,75,1,0,1,4,8,24,0,0
EPIDEN,DIVERSE,60,7,2,1,4,3,0,0,0
EPIDEN,DIVERSE,285,6,3,5,4,2,26,0,0
EPIDEN,DIVERSE,120,4,3,2,4,3,19,0,2
EPIDEN,DIVERSE,165,1,3,1,2,0,6,0,0
EPIDEN,DIVERSE,90,0,0,0,2,0,3,0,0
EPIDEN,DIVERSE,90,1,0,1,2,0,3,0,0
EPIDEN,DIVERSE,15,6,0,1,1,0,1,0,0
EPIDEN,DIVERSE,135,0,0,1,2,1,1,0,0
EPIDEN,DIVERSE,180,4,1,1,13,1,16,1,0
EPIDEN,DIVERSE,120,0,3,0,7,0,0,0,0
EPIDEN,DIVERSE,120,4,0,2,7,0,0,0,0
EPIDEN,DIVERSE,45,6,0,1,1,5,0,0,0
EPIDEN,DIVERSE,105,2,2,3,3,1,9,0,0
EPIDEN,DIVERSE,105,6,1,3,7,1,0,0,0
EPIDEN,DIVERSE,165,7,1,4,2,0,2,2,2
EPIDEN,DIVERSE,60,5,0,1,9,4,0,0,0
EPIDEN,DIVERSE,165,2,0,1,3,3,3,0,0
EPIDEN,DIVERSE,180,2,0,0,5,4,16,0,1
EPIDEN,DIVERSE,90,1,0,0,4,12,0,0,0
EPIDEN,DIVERSE,330,3,0,4,4,4,6,0,0
EPIDEN,DIVERSE,195,0,0,4,3,1,7,0,0
EPIDEN,DIVERSE,450,1,0,0,7,3,5,0,0
EPIDEN,DIVERSE,135,5,2,0,3,9,2,0,0
EPIDEN,DIVERSE,120,2,0,0,5,3,24,0,0
EPIDEN,ALONE,360,NA,NA,NA,NA,NA,NA,NA,NA
EPIDEN,ALONE,135,NA,NA,NA,NA,NA,NA,NA,NA
EPIDEN,ALONE,225,NA,NA,NA,NA,NA,NA,NA,NA
EPIDEN,ALONE,195,NA,NA,NA,NA,NA,NA,NA,NA
EPIDEN,ALONE,165,NA,NA,NA,NA,NA,NA,NA,NA
EPIDEN,ALONE,570,NA,NA,NA,NA,NA,NA,NA,NA
EPIDEN,ALONE,135,NA,NA,NA,NA,NA,NA,NA,NA
EPIDEN,ALONE,268.219833218439,NA,NA,NA,NA,NA,NA,NA,NA
EPIDEN,ALONE,268.093753415581,NA,NA,NA,NA,NA,NA,NA,NA
EPIDEN,ALONE,345,NA,NA,NA,NA,NA,NA,NA,NA
EPIDEN,ALONE,266.836210383696,NA,NA,NA,NA,NA,NA,NA,NA
