"Category","Positive_Proportion","Negative_Proportion"
"BR",5.58064516129032,2.41935483870968
"RF",6.16666666666667,1.83333333333333
"WIR",5.73333333333333,2.26666666666667
"SEM",4.7037037037037,3.2962962962963
